AISEQ,AICANT,AIALMACEN
82310,-1.000,109
82311,-1.000,109
82312,-1.000,109
82313,-1.000,109
82314,-1.000,109
82315,-1.000,109
82316,-1.000,109
82317,-1.000,109
82318,-1.000,109
82319,-1.000,109
82320,-1.000,109
82321,-1.000,109
82322,-1.000,109
82323,-1.000,109
82324,-1.000,109
82325,-1.000,109
82326,-1.000,109
82327,-1.000,109
82328,-1.000,109
82329,-1.000,109
82330,-1.000,109
82331,-1.000,109
82332,-1.000,109
82333,-1.000,109
82334,-1.000,109
82335,-1.000,109
82336,-1.000,109
82337,-1.000,109
82338,-1.000,109
82339,-1.000,109
82340,-1.000,109
82341,-1.000,109
82342,-1.000,109
82343,-1.000,109
82344,-1.000,109
82345,-1.000,109
82346,-1.000,109
82347,-1.000,109
82348,-1.000,109
82349,-1.000,109
82350,-1.000,109
82351,-1.000,109
82352,-1.000,109
82353,-1.000,109
82354,-1.000,109
82355,-1.000,109
82356,-1.000,109
82357,-1.000,109
82358,-1.000,109
82359,-1.000,109
82360,-1.000,109
82361,-1.000,109
82362,-1.000,109
82363,-1.000,109
82364,-1.000,109
82365,-1.000,109
82366,-1.000,109
82367,-1.000,109
82368,-1.000,109
82369,-1.000,109
82370,-1.000,109
82371,-1.000,109
82372,-1.000,109
82373,-1.000,109
82374,-1.000,109
82375,-1.000,109
82376,-1.000,109
82377,-1.000,109
82378,-1.000,109
82379,-1.000,109
82380,-1.000,109
82381,-1.000,109
82382,-1.000,109
82383,-1.000,109
82384,-1.000,109
82385,-1.000,109
82386,-1.000,109
82387,-1.000,109
82388,-1.000,109
82389,-1.000,109
82390,-1.000,109
82391,-1.000,109
82392,-1.000,109
82393,-1.000,109
82394,-1.000,109
82395,-1.000,109
82396,-1.000,109
82397,-1.000,109
82398,-1.000,109
82399,-1.000,109
82400,-1.000,109
82401,-1.000,109
